Job Opening ID,Featured Jobs,Remote,Posting Date,Posting Title,Company,Industry,Job Type,Salary,Location,City,State,Zip Code,Country,Full Address,Latitude,Longitude,Job Discription,Job Details Link,Send Applications to  (Email/URL),Company Logo,Status
RH105402,Yes,Yes,01/17/22,Territory Manager  ,Cannaclusive,Wellness,Full-Time,See Details,Remote,Remote,,,United States,Remote Remote MA  United States,42.4072107,-71.3824374,We’re looking for a self-starter who will drive initiatives with minimal supervision and prioritize high impact work. Your aptitude to learn new skills and solve challenging problems enables you to thrive in an entrepreneurial environment that requires comfort with the unexpected. Your ability to play well with others informs everything you do.,https://docs.google.com/document/d/1w1jod7hq1DmRibSKsrSupZeHYBPNeWFYcZyZBK4FKIc/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,Loading...
RH105404,Yes,Yes,01/14/22,Account Manager,Cannaclusive,Wellness,Full-Time,See Details,Remote,Remote,,,United States,Remote Remote IL  United States,40.63,-89.3985283,We’re looking for a self-starter who will drive initiatives with minimal supervision and prioritize high impact work. Your aptitude to learn new skills and solve challenging problems enables you to thrive in an entrepreneurial environment that requires comfort with the unexpected. Your ability to play well with others informs everything you do.,https://docs.google.com/document/d/1Y2m6N17JUF5s-mM6xkEh83yYD7gfXUCAH8QlleB9VL0/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,Loading...
RH105407,Yes,,01/13/22,FIELD MARKETING ASSOCIATE ,Cannaclusive,Wellness,Full-Time,See Details,"Boston, MA",Boston,MA,,United States,"Boston, MA Boston MA  United States",42.3,-71.0588801,"In every region Cann operates, there’s a local team at the heart of it. As a Cann Field Marketing Coordinator, you will be the hyper-local face to an increasingly national brand. The Field Marketing Coordinator supports the Director of Field Marketing in building brand awareness and a strong",https://docs.google.com/document/d/1yhLhxgsapfKre7g5Qq2gDqwdohuV4qRhBL3jyoBF0Eg/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,Loading...
RH105409,Yes,Yes,01/09/22,General Manager,Cannaclusive,Wellness,Full-Time,See Details,Remote,Remote,,,United States,Remote Remote IL  United States,40.64,-89.3985283,We’re looking for a self-starter who will drive initiatives with minimal supervision and prioritize high-impact work. Your aptitude to learn new skills and solve challenging problems enables you to thrive in an entrepreneurial environment that requires comfort with the unexpected. Your ability to play well with others informs everything you do.,https://docs.google.com/document/d/18chVf7atb8L9kTYRm7_dIBQrK-yPNeJd4bVVVBQ8LfA/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,Loading...
RH105408,Yes,Yes,01/08/22,Social Media Associate Job Description,Cannaclusive,Wellness,Part-Time,See Details,Remote,Remote,,,United States,Remote OH  United States,39.99601921,-82.96337055,"As Cannaclusive's Social Media Associate you will aid with driving brand awareness, creating informative and eye catching content, and interacting with varied audience members across all social media platforms we utilize.",https://docs.google.com/document/d/1t7XW6hFyzxJPXOAyoHyEQY3nHhTud1ILIofo3p1ntrU/edit#,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,#ERROR!
RH105405,Yes,,01/08/22,FIELD MARKETING ASSOCIATE ,Cannaclusive,Wellness,Full-Time,See Details,"Las Vegas, NV",Las Vegas,NV,,United States,"Las Vegas, NV Las Vegas NV  United States",36.1,-115.1398296,"In every region Cann operates, there’s a local team at the heart of it. As a Cann Field Marketing Coordinator, you will be the hyper-local face to an increasingly national brand. The Field Marketing Coordinator supports the Director of Field Marketing in building brand awareness and a strong ",https://docs.google.com/document/d/1yhLhxgsapfKre7g5Qq2gDqwdohuV4qRhBL3jyoBF0Eg/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,Loading...
RH105403,Yes,Yes,01/05/22,Sr. Director  ,Cannaclusive,Wellness,Full-Time,See Details,Remote,Remote,,,United States,Remote Remote AZ  United States,34.0489281,-111.0937311,"We’re looking for a self-starter who will drive initiatives with minimal supervision and prioritize high-impact work. Your aptitude to learn new skills and solve challenging problems enables you to thrive in an entrepreneurial environment that requires comfort with the unexpected. Your ability to play well with others informs everything you do.",https://docs.google.com/document/d/1O6iVTzwb4apbRrsNWGBVdRBQfDJ6NNe6Cy9VQei6TOk/edit,,https://drive.google.com/uc?export=view&id=14mBXROMv_5V4bGAPuveW5EOxKD0UaUPw,Loading...
,Yes,,01/23/22,Postharvest Manager,Holistic Industries,Wellness,,,"Madison Heights, MI",,,,United States,"Madison Heights, MI    United States",42.4858692,-83.1052028,,http://jobviewtrack.com/en-gb/job-131d41604c0a0e09420621525b555651/3809baca79354ff88e897367aceb0f42.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,Yes,,01/22/22,Laboratory Technician,Holistic Industries,Wellness,,,"Kansas City, MO",,,,United States,"Kansas City, MO    United States",39.0997265,-94.5785667,,http://jobviewtrack.com/en-gb/job-1c4f41614c06001c46004f1111413a0206481a010a1a4b453f79480707004e17490206632206074f06091d1c58523c1c19525c5e/b997757f4ff69880e8ccfb6a18a78a96.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,Yes,,01/22/22,"RN Administrator - Eating Disorder, Residential",Holistic Industries,Wellness,,,"Seattle, WA",,,,United States,"Seattle, WA    United States",47.6062095,-122.3320708,,http://jobviewtrack.com/en-gb/job-1c1c41684c1006004054640a1b0e1c030052543a27716f4a494443034f2a4e074f110c041c65374507010d16445f544c41442e0a4a1d4e0a1b151c06114f066a3b3d0a6a5940440a061d5306411707136c3500531d0c0c1d5e425c410d36216f1547155059/83281547ff4c2ed72dc14cfd581e212e.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
